,total_voters,null_votes,valid_votes,url,region,voters,unmarked_votes,no_votes_p,yes_votes_p,yes_votes,no_votes,vulner_idx,yes_no_ratio,elec_part,h_affect
EL DONCELLO,15558,89,4104,http://plebiscito.registraduria.gov.co/99PL/DPL44005ZZZZZZZZZZZZ_L1.htm,CAQUETA,4230,37,0.6118,0.3881,1593,2511,0,0.634357633213,0.27188584651,0
EL DORADO,2794,13,1347,http://plebiscito.registraduria.gov.co/99PL/DPL52028ZZZZZZZZZZZZ_L1.htm,META,1371,11,0.5768,0.4231,570,777,0,0.733529819695,0.490694345025,0
EL DOVIO,9808,51,2959,http://plebiscito.registraduria.gov.co/99PL/DPL31052ZZZZZZZZZZZZ_L1.htm,VALLE,3042,32,0.6715,0.3284,972,1987,0,0.48905435592,0.31015497553,0
EL ENCANTO,743,2,221,http://plebiscito.registraduria.gov.co/99PL/DPL60010ZZZZZZZZZZZZ_L1.htm,AMAZONAS,223,0,0.2307,0.7692,170,51,0,3.33420026008,0.300134589502,0
EL ESPINO,2301,20,966,http://plebiscito.registraduria.gov.co/99PL/DPL07085ZZZZZZZZZZZZ_L1.htm,BOYACA,997,11,0.649,0.3509,339,627,0,0.540677966102,0.433289873968,0
EL GUACAMAYO,1590,23,773,http://plebiscito.registraduria.gov.co/99PL/DPL27073ZZZZZZZZZZZZ_L1.htm,SANTANDER,813,17,0.3027,0.6972,539,234,0,2.30327056492,0.511320754717,0
EL GUAMO,7284,11,1983,http://plebiscito.registraduria.gov.co/99PL/DPL05025ZZZZZZZZZZZZ_L1.htm,BOLIVAR,2017,23,0.2042,0.7957,1578,405,0,3.89666993144,0.276908292147,1
EL LITORAL DEL SAN JUAN,7257,12,2643,http://plebiscito.registraduria.gov.co/99PL/DPL17038ZZZZZZZZZZZZ_L1.htm,CHOCO,2811,156,0.051,0.9489,2508,135,2,18.6058823529,0.387350144688,0
EL MOLINO,6765,21,2480,http://plebiscito.registraduria.gov.co/99PL/DPL48006ZZZZZZZZZZZZ_L1.htm,LA GUAJIRA,2510,9,0.337,0.6629,1644,836,0,1.96706231454,0.371027346637,1
EL PASO,19849,68,6365,http://plebiscito.registraduria.gov.co/99PL/DPL12415ZZZZZZZZZZZZ_L1.htm,CESAR,6462,29,0.36,0.6399,4073,2292,0,1.7775,0.325557962618,0
EL PAUJIL,11865,52,2596,http://plebiscito.registraduria.gov.co/99PL/DPL44006ZZZZZZZZZZZZ_L1.htm,CAQUETA,2683,35,0.5543,0.4456,1157,1439,2,0.803896806783,0.226127265065,0
EL PEÑOL,5357,58,2866,http://plebiscito.registraduria.gov.co/99PL/DPL23044ZZZZZZZZZZZZ_L1.htm,NARIÑO,2957,33,0.1933,0.8066,2312,554,0,4.1727884118,0.551988053015,0
EL PEÑON,3339,45,1251,http://plebiscito.registraduria.gov.co/99PL/DPL27075ZZZZZZZZZZZZ_L1.htm,SANTANDER,1328,32,0.5043,0.4956,620,631,0,0.982748364069,0.397723869422,0
EL PIÑON,13197,22,3035,http://plebiscito.registraduria.gov.co/99PL/DPL21028ZZZZZZZZZZZZ_L1.htm,MAGDALENA,3089,32,0.1742,0.8257,2506,529,0,4.73995407577,0.234068348867,1
EL PLAYON,11556,104,4198,http://plebiscito.registraduria.gov.co/99PL/DPL27074ZZZZZZZZZZZZ_L1.htm,SANTANDER,4361,59,0.7243,0.2756,1157,3041,0,0.380505315477,0.377379716165,0
EL RETEN,12752,27,2732,http://plebiscito.registraduria.gov.co/99PL/DPL21030ZZZZZZZZZZZZ_L1.htm,MAGDALENA,2903,144,0.2928,0.7071,1932,800,0,2.41495901639,0.227650564617,1
EL RETORNO,9285,125,3458,http://plebiscito.registraduria.gov.co/99PL/DPL54007ZZZZZZZZZZZZ_L1.htm,GUAVIARE,3630,47,0.4077,0.5922,2048,1410,3,1.45253863135,0.390953150242,0
EL ROBLE,7694,22,2871,http://plebiscito.registraduria.gov.co/99PL/DPL28042ZZZZZZZZZZZZ_L1.htm,SUCRE,2912,19,0.2204,0.7795,2238,633,0,3.53675136116,0.378476735118,0
EL ROSAL,13750,171,7697,http://plebiscito.registraduria.gov.co/99PL/DPL15072ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,7909,41,0.6779,0.322,2479,5218,0,0.47499631214,0.5752,0
EL ROSARIO,6649,42,2582,http://plebiscito.registraduria.gov.co/99PL/DPL23040ZZZZZZZZZZZZ_L1.htm,NARIÑO,2643,19,0.0921,0.9078,2344,238,0,9.85667752443,0.397503383968,0
EL SALVADOR,472,0,133,http://plebiscito.registraduria.gov.co/99PL/DPL88340ZZZZZZZZZZZZ_L1.htm,CONSULADOS,133,0,0.5037,0.4962,66,67,0,0.985110184634,0.281779661017,0
EL TABLON,10814,109,4537,http://plebiscito.registraduria.gov.co/99PL/DPL23043ZZZZZZZZZZZZ_L1.htm,NARIÑO,4730,84,0.3431,0.6568,2980,1557,0,1.91431069659,0.437395968189,0
EL TAMBO,11253,108,5039,http://plebiscito.registraduria.gov.co/99PL/DPL23046ZZZZZZZZZZZZ_L1.htm,NARIÑO,5246,99,0.2929,0.707,3563,1476,3,2.41379310345,0.466186794633,0
EL TARRA,11167,92,3089,http://plebiscito.registraduria.gov.co/99PL/DPL25036ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,3222,41,0.0848,0.9151,2827,262,0,10.7912735849,0.288528700636,0
EL ZULIA,20243,181,7794,http://plebiscito.registraduria.gov.co/99PL/DPL25038ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,8042,67,0.6445,0.3554,2770,5024,0,0.551435221102,0.397273131453,0
ELIAS,3169,14,1327,http://plebiscito.registraduria.gov.co/99PL/DPL19031ZZZZZZZZZZZZ_L1.htm,HUILA,1355,14,0.5139,0.486,645,682,0,0.945709281961,0.427579678132,0
EMIRATOS ARABES UNIDOS,776,1,280,http://plebiscito.registraduria.gov.co/99PL/DPL88350ZZZZZZZZZZZZ_L1.htm,CONSULADOS,281,0,0.775,0.225,63,217,0,0.290322580645,0.362113402062,0
ENCINO,2123,26,649,http://plebiscito.registraduria.gov.co/99PL/DPL27076ZZZZZZZZZZZZ_L1.htm,SANTANDER,692,17,0.3759,0.624,405,244,0,1.66001596169,0.325953838907,0
ENCISO,3267,30,1297,http://plebiscito.registraduria.gov.co/99PL/DPL27079ZZZZZZZZZZZZ_L1.htm,SANTANDER,1345,18,0.5412,0.4587,595,702,0,0.84756097561,0.41169268442,0
ENTRERRIOS,7957,30,2634,http://plebiscito.registraduria.gov.co/99PL/DPL01118ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,2680,16,0.6704,0.3295,868,1766,0,0.491497613365,0.336810355662,0
ENVIGADO,232003,1061,105055,http://plebiscito.registraduria.gov.co/99PL/DPL01121ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,106988,872,0.6401,0.3598,37800,67255,0,0.562099671926,0.461149209277,0
ESPAÑA,85658,4,7126,http://plebiscito.registraduria.gov.co/99PL/DPL88355ZZZZZZZZZZZZ_L1.htm,CONSULADOS,7138,8,0.3136,0.6863,4891,2235,0,2.18845663265,0.0833313876112,0
ESPINAL,58148,324,23011,http://plebiscito.registraduria.gov.co/99PL/DPL29046ZZZZZZZZZZZZ_L1.htm,TOLIMA,23446,111,0.6354,0.3645,8388,14623,0,0.573654390935,0.403212492261,0
ESTADOS UNIDOS,191606,33,34163,http://plebiscito.registraduria.gov.co/99PL/DPL88360ZZZZZZZZZZZZ_L1.htm,CONSULADOS,34205,9,0.6248,0.3751,12816,21347,0,0.600352112676,0.178517374195,0
FACATATIVA,87088,1056,45817,http://plebiscito.registraduria.gov.co/99PL/DPL15076ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,46982,109,0.5888,0.4111,18839,26978,0,0.698199728261,0.539477310307,0
FALAN,5702,52,2142,http://plebiscito.registraduria.gov.co/99PL/DPL29049ZZZZZZZZZZZZ_L1.htm,TOLIMA,2230,36,0.4645,0.5354,1147,995,0,1.15263724435,0.391090845317,0
FILADELFIA,9343,62,3148,http://plebiscito.registraduria.gov.co/99PL/DPL09037ZZZZZZZZZZZZ_L1.htm,CALDAS,3281,71,0.5663,0.4336,1365,1783,0,0.765671905351,0.351172000428,0
FILANDIA,10343,68,4149,http://plebiscito.registraduria.gov.co/99PL/DPL26030ZZZZZZZZZZZZ_L1.htm,QUINDIO,4256,39,0.6331,0.3668,1522,2627,0,0.579371347338,0.411486029198,0
FILIPINAS,66,0,16,http://plebiscito.registraduria.gov.co/99PL/DPL88370ZZZZZZZZZZZZ_L1.htm,CONSULADOS,16,0,0.25,0.75,12,4,0,3.0,0.242424242424,0
FINLANDIA,70,0,39,http://plebiscito.registraduria.gov.co/99PL/DPL88375ZZZZZZZZZZZZ_L1.htm,CONSULADOS,39,0,0.1538,0.8461,33,6,0,5.50130039012,0.557142857143,0
FIRAVITOBA,5680,37,2075,http://plebiscito.registraduria.gov.co/99PL/DPL07088ZZZZZZZZZZZZ_L1.htm,BOYACA,2129,17,0.3653,0.6346,1317,758,0,1.73720229948,0.374823943662,0
FLANDES,17194,88,6567,http://plebiscito.registraduria.gov.co/99PL/DPL29052ZZZZZZZZZZZZ_L1.htm,TOLIMA,6693,38,0.6386,0.3613,2373,4194,0,0.565768869402,0.389263696638,0
FLORENCIA,4576,64,2050,http://plebiscito.registraduria.gov.co/99PL/DPL11027ZZZZZZZZZZZZ_L1.htm,CAUCA,2151,37,0.2536,0.7463,1530,520,2,2.94282334385,0.470061188811,0
FLORESTA,3078,20,1326,http://plebiscito.registraduria.gov.co/99PL/DPL07091ZZZZZZZZZZZZ_L1.htm,BOYACA,1354,8,0.6025,0.3974,527,799,0,0.659585062241,0.439896036387,0
FLORIAN,5159,22,1665,http://plebiscito.registraduria.gov.co/99PL/DPL27080ZZZZZZZZZZZZ_L1.htm,SANTANDER,1703,16,0.3303,0.6696,1115,550,0,2.0272479564,0.330102733088,0
FLORIDA,50135,347,18260,http://plebiscito.registraduria.gov.co/99PL/DPL31055ZZZZZZZZZZZZ_L1.htm,VALLE,18826,219,0.4329,0.567,10354,7906,1,1.30977130977,0.37550613344,0
FLORIDABLANCA,178805,870,86829,http://plebiscito.registraduria.gov.co/99PL/DPL27082ZZZZZZZZZZZZ_L1.htm,SANTANDER,87866,167,0.5832,0.4167,36189,50640,0,0.71450617284,0.491406839853,0
FOMEQUE,9437,38,3903,http://plebiscito.registraduria.gov.co/99PL/DPL15079ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,3966,25,0.7115,0.2884,1126,2777,0,0.405340829234,0.420260676062,0
FONSECA,25836,101,8865,http://plebiscito.registraduria.gov.co/99PL/DPL48007ZZZZZZZZZZZZ_L1.htm,LA GUAJIRA,9006,40,0.2778,0.7221,6402,2463,0,2.59935205184,0.348583372039,1
FORTUL,10912,187,3401,http://plebiscito.registraduria.gov.co/99PL/DPL40017ZZZZZZZZZZZZ_L1.htm,ARAUCA,3646,58,0.3125,0.6874,2338,1063,2,2.19968,0.334127565982,0
FOSCA,5483,11,2003,http://plebiscito.registraduria.gov.co/99PL/DPL15085ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,2022,8,0.7813,0.2186,438,1565,0,0.279790093434,0.368776217399,0
FRANCIA,7110,0,1815,http://plebiscito.registraduria.gov.co/99PL/DPL88380ZZZZZZZZZZZZ_L1.htm,CONSULADOS,1816,1,0.1746,0.8253,1498,317,0,4.72680412371,0.255414908579,0
FRANCISCO PIZARRO (SALAHONDA),6308,27,1579,http://plebiscito.registraduria.gov.co/99PL/DPL23047ZZZZZZZZZZZZ_L1.htm,NARIÑO,1621,15,0.1564,0.8435,1332,247,3,5.39322250639,0.256975269499,0
FREDONIA,18196,64,4767,http://plebiscito.registraduria.gov.co/99PL/DPL01124ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,4858,27,0.6427,0.3572,1703,3064,0,0.555780301852,0.266981754232,0
FRESNO,26101,183,8283,http://plebiscito.registraduria.gov.co/99PL/DPL29055ZZZZZZZZZZZZ_L1.htm,TOLIMA,8566,100,0.669,0.3309,2741,5542,0,0.494618834081,0.328186659515,0
FRONTINO,16785,78,3892,http://plebiscito.registraduria.gov.co/99PL/DPL01127ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,4038,68,0.448,0.5519,2148,1744,0,1.23191964286,0.240571939231,0
FUENTE DE ORO,9442,75,3709,http://plebiscito.registraduria.gov.co/99PL/DPL52030ZZZZZZZZZZZZ_L1.htm,META,3815,31,0.5804,0.4195,1556,2153,0,0.7227773949,0.404045753018,0
FUNDACION,51126,97,8917,http://plebiscito.registraduria.gov.co/99PL/DPL21031ZZZZZZZZZZZZ_L1.htm,MAGDALENA,9049,35,0.4831,0.5168,4609,4308,0,1.06975781412,0.176994093025,1
FUNES,5549,31,2312,http://plebiscito.registraduria.gov.co/99PL/DPL23049ZZZZZZZZZZZZ_L1.htm,NARIÑO,2381,38,0.3187,0.6812,1575,737,0,2.13743332287,0.42908632186,0
FUNZA,60731,534,30550,http://plebiscito.registraduria.gov.co/99PL/DPL15088ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,31140,56,0.5612,0.4387,13403,17147,0,0.781717747684,0.512752959773,0
FUQUENE,3913,33,1601,http://plebiscito.registraduria.gov.co/99PL/DPL15091ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,1646,12,0.5171,0.4828,773,828,0,0.933668536067,0.420649118324,0
FUSAGASUGA,96948,573,41213,http://plebiscito.registraduria.gov.co/99PL/DPL15094ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,41941,155,0.5659,0.434,17890,23323,0,0.766919950521,0.432613359739,0
GACHALA,5230,43,1529,http://plebiscito.registraduria.gov.co/99PL/DPL15097ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,1593,21,0.5186,0.4813,736,793,0,0.928075588122,0.304588910134,0
GACHANCIPA,9080,113,4534,http://plebiscito.registraduria.gov.co/99PL/DPL15100ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,4691,44,0.621,0.3789,1718,2816,0,0.610144927536,0.516629955947,0
GACHANTIVA,3020,24,1299,http://plebiscito.registraduria.gov.co/99PL/DPL07094ZZZZZZZZZZZZ_L1.htm,BOYACA,1342,19,0.5219,0.478,621,678,0,0.915884269017,0.444370860927,0
GACHETA,9217,55,3106,http://plebiscito.registraduria.gov.co/99PL/DPL15103ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,3193,32,0.6555,0.3444,1070,2036,0,0.525400457666,0.346425084084,0
GALAN,2536,31,1037,http://plebiscito.registraduria.gov.co/99PL/DPL27085ZZZZZZZZZZZZ_L1.htm,SANTANDER,1082,14,0.5814,0.4185,434,603,0,0.719814241486,0.42665615142,0
GALAPA,34607,74,8362,http://plebiscito.registraduria.gov.co/99PL/DPL03013ZZZZZZZZZZZZ_L1.htm,ATLANTICO,8464,28,0.3798,0.6201,5186,3176,0,1.6327014218,0.244574797006,1
GALERAS (NUEVA GRANADA),15770,51,5220,http://plebiscito.registraduria.gov.co/99PL/DPL28048ZZZZZZZZZZZZ_L1.htm,SUCRE,5332,61,0.5821,0.4178,2181,3039,0,0.717746091737,0.338110336081,0
GAMA,3103,18,1149,http://plebiscito.registraduria.gov.co/99PL/DPL15106ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,1191,24,0.53,0.4699,540,609,0,0.886603773585,0.383822107638,0
GAMARRA,10255,26,3386,http://plebiscito.registraduria.gov.co/99PL/DPL12450ZZZZZZZZZZZZ_L1.htm,CESAR,3438,26,0.5248,0.4751,1609,1777,0,0.905297256098,0.335251097026,0
GAMBITA,3239,19,1100,http://plebiscito.registraduria.gov.co/99PL/DPL27088ZZZZZZZZZZZZ_L1.htm,SANTANDER,1135,16,0.4518,0.5481,603,497,0,1.21314741036,0.350416795307,0
GAMEZA,4056,23,1446,http://plebiscito.registraduria.gov.co/99PL/DPL07097ZZZZZZZZZZZZ_L1.htm,BOYACA,1491,22,0.5705,0.4294,621,825,0,0.752673093777,0.367603550296,0
GARAGOA,11845,119,5019,http://plebiscito.registraduria.gov.co/99PL/DPL07100ZZZZZZZZZZZZ_L1.htm,BOYACA,5174,36,0.4951,0.5048,2534,2485,0,1.01959200162,0.436808780076,0
GARZON,51641,287,18457,http://plebiscito.registraduria.gov.co/99PL/DPL19034ZZZZZZZZZZZZ_L1.htm,HUILA,18902,158,0.6556,0.3443,6356,12101,1,0.525167785235,0.366026994055,0
GENOVA,7384,55,2726,http://plebiscito.registraduria.gov.co/99PL/DPL26040ZZZZZZZZZZZZ_L1.htm,QUINDIO,2810,29,0.6379,0.362,987,1739,0,0.567487066938,0.380552546046,0
GIGANTE,18633,188,6931,http://plebiscito.registraduria.gov.co/99PL/DPL19037ZZZZZZZZZZZZ_L1.htm,HUILA,7184,65,0.615,0.3849,2668,4263,1,0.625853658537,0.385552514356,0
GINEBRA,16309,99,6445,http://plebiscito.registraduria.gov.co/99PL/DPL31058ZZZZZZZZZZZZ_L1.htm,VALLE,6619,75,0.5062,0.4937,3182,3263,0,0.975306203082,0.405849530934,0
GIRALDO,3946,17,1223,http://plebiscito.registraduria.gov.co/99PL/DPL01130ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1251,11,0.4554,0.5445,666,557,0,1.19565217391,0.3170299037,0
GIRARDOT,81967,334,33222,http://plebiscito.registraduria.gov.co/99PL/DPL15109ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,33639,83,0.6312,0.3687,12251,20971,0,0.584125475285,0.410396867032,0
GIRARDOTA,47612,277,16768,http://plebiscito.registraduria.gov.co/99PL/DPL01133ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,17135,90,0.6369,0.363,6088,10680,0,0.569948186528,0.359888263463,0
GIRON,105643,549,45151,http://plebiscito.registraduria.gov.co/99PL/DPL27091ZZZZZZZZZZZZ_L1.htm,SANTANDER,45814,114,0.6212,0.3787,17099,28052,0,0.609626529298,0.43366810863,0
GOMEZ PLATA,8404,61,2100,http://plebiscito.registraduria.gov.co/99PL/DPL01136ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,2192,31,0.6323,0.3676,772,1328,0,0.581369603037,0.260828177059,0
GONZALEZ,3867,44,1168,http://plebiscito.registraduria.gov.co/99PL/DPL12525ZZZZZZZZZZZZ_L1.htm,CESAR,1237,25,0.4794,0.5205,608,560,0,1.08573216521,0.319886216705,0
GRAMALOTE,4850,38,1885,http://plebiscito.registraduria.gov.co/99PL/DPL25040ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,1946,23,0.6647,0.3352,632,1253,0,0.504287648563,0.401237113402,0
GRANADA,48638,421,19422,http://plebiscito.registraduria.gov.co/99PL/DPL52035ZZZZZZZZZZZZ_L1.htm,META,19968,125,0.6392,0.3607,7007,12415,0,0.564299123905,0.410543196677,0
GRECIA,47,0,23,http://plebiscito.registraduria.gov.co/99PL/DPL88405ZZZZZZZZZZZZ_L1.htm,CONSULADOS,23,0,0.1739,0.826,19,4,0,4.74985623922,0.489361702128,0
GUACA,5140,38,1981,http://plebiscito.registraduria.gov.co/99PL/DPL27094ZZZZZZZZZZZZ_L1.htm,SANTANDER,2052,33,0.6133,0.3866,766,1215,0,0.630360345671,0.399221789883,0
GUACAMAYAS,1656,19,601,http://plebiscito.registraduria.gov.co/99PL/DPL07103ZZZZZZZZZZZZ_L1.htm,BOYACA,631,11,0.797,0.2029,122,479,0,0.254579673777,0.381038647343,0
GUACARI,27420,184,10341,http://plebiscito.registraduria.gov.co/99PL/DPL31061ZZZZZZZZZZZZ_L1.htm,VALLE,10586,61,0.4404,0.5595,5786,4555,0,1.2704359673,0.386068563093,0
GUACHENE,12259,202,5823,http://plebiscito.registraduria.gov.co/99PL/DPL11029ZZZZZZZZZZZZ_L1.htm,CAUCA,6090,65,0.2855,0.7144,4160,1663,0,2.50227670753,0.496777877478,0
GUACHETA,8587,103,3427,http://plebiscito.registraduria.gov.co/99PL/DPL15112ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,3566,36,0.5844,0.4155,1424,2003,0,0.710985626283,0.41527890998,0
GUACHUCAL,14068,78,4449,http://plebiscito.registraduria.gov.co/99PL/DPL23052ZZZZZZZZZZZZ_L1.htm,NARIÑO,4581,54,0.4356,0.5643,2511,1938,0,1.29545454545,0.325632641456,0
GUADALUPE,4334,30,1515,http://plebiscito.registraduria.gov.co/99PL/DPL27097ZZZZZZZZZZZZ_L1.htm,SANTANDER,1567,22,0.5993,0.4006,607,908,0,0.668446520941,0.361559760037,0
GUADUAS,22188,181,8242,http://plebiscito.registraduria.gov.co/99PL/DPL15115ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,8502,79,0.5889,0.411,3388,4854,0,0.697911360163,0.38318009735,0
GUAITARILLA,10811,47,3055,http://plebiscito.registraduria.gov.co/99PL/DPL23055ZZZZZZZZZZZZ_L1.htm,NARIÑO,3153,51,0.2618,0.7381,2255,800,0,2.81932773109,0.291647396171,0
GUALMATAN,5077,32,2336,http://plebiscito.registraduria.gov.co/99PL/DPL23058ZZZZZZZZZZZZ_L1.htm,NARIÑO,2383,15,0.3989,0.601,1404,932,0,1.50664326899,0.469371676187,0
GUAMAL,10375,62,5394,http://plebiscito.registraduria.gov.co/99PL/DPL52040ZZZZZZZZZZZZ_L1.htm,META,5471,15,0.756,0.2439,1316,4078,0,0.322619047619,0.527325301205,0
GUAMO,25766,114,8825,http://plebiscito.registraduria.gov.co/99PL/DPL29058ZZZZZZZZZZZZ_L1.htm,TOLIMA,9014,75,0.6552,0.3447,3042,5783,0,0.526098901099,0.349840875572,0
GUAPI,19182,78,6011,http://plebiscito.registraduria.gov.co/99PL/DPL11028ZZZZZZZZZZZZ_L1.htm,CAUCA,6172,83,0.069,0.9309,5596,415,3,13.4913043478,0.321759983318,0
GUAPOTA,1834,27,738,http://plebiscito.registraduria.gov.co/99PL/DPL27100ZZZZZZZZZZZZ_L1.htm,SANTANDER,774,9,0.4837,0.5162,381,357,0,1.06719040728,0.422028353326,0
GUARANDA,12792,48,3512,http://plebiscito.registraduria.gov.co/99PL/DPL28049ZZZZZZZZZZZZ_L1.htm,SUCRE,3584,24,0.4843,0.5156,1811,1701,0,1.06462936197,0.280175109443,0
GUARNE,31687,214,14474,http://plebiscito.registraduria.gov.co/99PL/DPL01142ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,14804,116,0.7326,0.2673,3870,10604,0,0.364864864865,0.467194748635,0
GUASCA,10241,60,4391,http://plebiscito.registraduria.gov.co/99PL/DPL15118ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,4472,21,0.6458,0.3541,1555,2836,0,0.548312170951,0.436676105849,0
GUATAPE,6523,37,3198,http://plebiscito.registraduria.gov.co/99PL/DPL01145ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,3261,26,0.6147,0.3852,1232,1966,0,0.626647144949,0.499923348153,0
GUATAQUI,2205,13,709,http://plebiscito.registraduria.gov.co/99PL/DPL15121ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,732,10,0.433,0.5669,402,307,0,1.30923787529,0.331972789116,0
GUATAVITA,4945,32,2090,http://plebiscito.registraduria.gov.co/99PL/DPL15124ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,2136,14,0.6119,0.388,811,1279,0,0.63409053767,0.431951466127,0
GUATEMALA,724,0,215,http://plebiscito.registraduria.gov.co/99PL/DPL88410ZZZZZZZZZZZZ_L1.htm,CONSULADOS,215,0,0.493,0.5069,109,106,0,1.02819472617,0.296961325967,0
GUATEQUE,8954,80,3317,http://plebiscito.registraduria.gov.co/99PL/DPL07106ZZZZZZZZZZZZ_L1.htm,BOYACA,3421,24,0.482,0.5179,1718,1599,0,1.0744813278,0.382063882064,0
GUATICA,10351,67,3683,http://plebiscito.registraduria.gov.co/99PL/DPL24029ZZZZZZZZZZZZ_L1.htm,RISARALDA,3795,45,0.6633,0.3366,1240,2443,0,0.507462686567,0.366631243358,0
GUAVATA,4470,28,1303,http://plebiscito.registraduria.gov.co/99PL/DPL27103ZZZZZZZZZZZZ_L1.htm,SANTANDER,1345,14,0.3798,0.6201,808,495,0,1.6327014218,0.300894854586,0
GUAYABAL DE SIQUIMA,3606,28,1520,http://plebiscito.registraduria.gov.co/99PL/DPL15127ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,1557,9,0.5065,0.4934,750,770,0,0.974136229023,0.431780366057,0
GUAYABETAL,4467,36,1983,http://plebiscito.registraduria.gov.co/99PL/DPL15128ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,2028,9,0.7413,0.2586,513,1470,0,0.348846620801,0.45399597045,0
GUAYATA,3849,22,1494,http://plebiscito.registraduria.gov.co/99PL/DPL07109ZZZZZZZZZZZZ_L1.htm,BOYACA,1530,14,0.4236,0.5763,861,633,0,1.3604815864,0.397505845674,0
GUEPSA,4173,20,1433,http://plebiscito.registraduria.gov.co/99PL/DPL27106ZZZZZZZZZZZZ_L1.htm,SANTANDER,1462,9,0.3824,0.6175,885,548,0,1.61480125523,0.350347471843,0
GUICAN,3033,42,1148,http://plebiscito.registraduria.gov.co/99PL/DPL07112ZZZZZZZZZZZZ_L1.htm,BOYACA,1204,14,0.5156,0.4843,556,592,2,0.939294026377,0.396966699637,0
GUTIERREZ,2691,27,1311,http://plebiscito.registraduria.gov.co/99PL/DPL15130ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,1343,5,0.6338,0.3661,480,831,0,0.577627011676,0.499070977332,0
HACARI,6906,59,1746,http://plebiscito.registraduria.gov.co/99PL/DPL25043ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,1839,34,0.1053,0.8946,1562,184,0,8.49572649573,0.26629018245,0
HATILLO DE LOBA,9848,25,2607,http://plebiscito.registraduria.gov.co/99PL/DPL05026ZZZZZZZZZZZZ_L1.htm,BOLIVAR,2648,16,0.4929,0.507,1322,1285,0,1.02860620816,0.268887083672,1
HATO,1825,19,774,http://plebiscito.registraduria.gov.co/99PL/DPL27109ZZZZZZZZZZZZ_L1.htm,SANTANDER,817,24,0.4005,0.5994,464,310,0,1.49662921348,0.447671232877,0
HATO COROZAL,6995,61,2724,http://plebiscito.registraduria.gov.co/99PL/DPL46320ZZZZZZZZZZZZ_L1.htm,CASANARE,2825,40,0.783,0.2169,591,2133,2,0.277011494253,0.403859899929,0
HATONUEVO,14034,59,4150,http://plebiscito.registraduria.gov.co/99PL/DPL48009ZZZZZZZZZZZZ_L1.htm,LA GUAJIRA,4240,31,0.3142,0.6857,2846,1304,0,2.18236791852,0.302123414565,1
HELICONIA,6157,29,1427,http://plebiscito.registraduria.gov.co/99PL/DPL01148ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1492,36,0.5571,0.4428,632,795,0,0.794830371567,0.242325808023,0
HERRAN,3574,28,1146,http://plebiscito.registraduria.gov.co/99PL/DPL25046ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,1192,18,0.671,0.3289,377,769,0,0.490163934426,0.333519865697,0
HERVEO,5922,40,1852,http://plebiscito.registraduria.gov.co/99PL/DPL29061ZZZZZZZZZZZZ_L1.htm,TOLIMA,1932,40,0.609,0.3909,724,1128,0,0.641871921182,0.326241134752,0
HISPANIA,5219,11,1113,http://plebiscito.registraduria.gov.co/99PL/DPL01150ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1142,18,0.5876,0.4123,459,654,0,0.701667801225,0.218815865108,0
HOBO,5571,42,2255,http://plebiscito.registraduria.gov.co/99PL/DPL19043ZZZZZZZZZZZZ_L1.htm,HUILA,2313,16,0.5543,0.4456,1005,1250,0,0.803896806783,0.415185783522,0
